"Item","Dimension","Subtema","Nivel_Cognitivo","Dificultad_Empirica"
"D1-S1-01","D1","Lim_Velocidad","Memorizar",0.8345
"D1-S1-02","D1","Lim_Velocidad","Memorizar",0.793
"D1-S1-03","D1","Lim_Velocidad","Aplicar",0.6405
"D1-S2-01","D1","Prohibiciones","Comprender",0.7405
"D1-S2-02","D1","Prohibiciones","Comprender",0.81425
"D1-S2-03","D1","Prohibiciones","Comprender",0.818
"D1-S3-01","D1","Preferencias_Paso","Aplicar",0.42925
"D1-S3-02","D1","Preferencias_Paso","Aplicar",0.61525
"D1-S3-03","D1","Preferencias_Paso","Aplicar",0.58125
"D1-S4-01","D1","Vehiculos_Emergencia","Aplicar",0.672
"D1-S4-02","D1","Vehiculos_Emergencia","Aplicar",0.6435
"D1-S4-03","D1","Vehiculos_Emergencia","Aplicar",0.634
"D1-S5-01","D1","Documentos_Obligaciones","Memorizar",0.82425
"D1-S5-02","D1","Documentos_Obligaciones","Memorizar",0.7815
"D1-S5-03","D1","Documentos_Obligaciones","Memorizar",0.6405
"D1-S6-01","D1","Zonas_Especiales","Aplicar",0.6065
"D1-S6-02-E","D1","Zonas_Especiales","Aplicar",0.507
"D1-S6-03","D1","Zonas_Especiales","Aplicar",0.5965
"D2-01","D2","Sen_Preventivas","Memorizar",0.78375
"D2-02","D2","Sen_Preventivas","Memorizar",0.862
"D2-03","D2","Sen_Preventivas","Memorizar",0.8545
"D2-04","D2","Sen_Restrictivas","Comprender",0.794
"D2-05","D2","Sen_Restrictivas","Comprender",0.726
"D2-06","D2","Sen_Restrictivas","Comprender",0.82825
"D2-07","D2","Sen_Informativas","Comprender",0.71225
"D2-08","D2","Sen_Informativas","Comprender",0.7425
"D2-09","D2","Sen_Informativas","Comprender",0.82975
"D2-10","D2","Semaforos_Dispositivos","Aplicar",0.773
"D2-11","D2","Semaforos_Dispositivos","Aplicar",0.57225
"D2-12","D2","Semaforos_Dispositivos","Aplicar",0.52225
"D2-13","D2","Piramide_Movilidad","Comprender",0.755
"D2-14","D2","Piramide_Movilidad","Comprender",0.7165
"D2-15","D2","Piramide_Movilidad","Comprender",0.745
"D2-16","D2","Interacciones_Cruce","Aplicar",0.55375
"D2-17","D2","Interacciones_Cruce","Aplicar",0.61575
"D2-18","D2","Interacciones_Cruce","Aplicar",0.5535
"D3-01","D3","Sistemas_Retencion","Memorizar",0.49475
"D3-02","D3","Sistemas_Retencion","Memorizar",0.5825
"D3-03","D3","Sistemas_Retencion","Memorizar",0.46675
"D3-04","D3","Distancias_Velocidades","Aplicar",0.53325
"D3-05","D3","Distancias_Velocidades","Aplicar",0.41525
"D3-06","D3","Distancias_Velocidades","Aplicar",0.59325
"D3-07","D3","Manejo_Defensivo","Comprender",0.64475
"D3-08","D3","Manejo_Defensivo","Comprender",0.57125
"D3-09","D3","Manejo_Defensivo","Comprender",0.684
"D3-10","D3","Condiciones_Adversas","Aplicar",0.56675
"D3-11","D3","Condiciones_Adversas","Aplicar",0.37575
"D3-12","D3","Condiciones_Adversas","Aplicar",0.48525
"D3-13","D3","Prediccion_Urbana","Analizar",0.39175
"D3-14","D3","Prediccion_Urbana","Analizar",0.4235
"D3-15","D3","Prediccion_Urbana","Analizar",0.41625
"D3-16","D3","Prediccion_ViasRapidas","Analizar",0.51125
"D3-17","D3","Prediccion_ViasRapidas","Analizar",0.335
"D3-18","D3","Prediccion_ViasRapidas","Analizar",0.45325
