"Item","Dimension","Subtema","Nivel_Cognitivo","Dificultad_Empirica","a","a_estimada","b","b_estimada","c","c_estimada"
"D1-S1-01","D1","Lim_Velocidad","Memorizar",0.8345,1.3,1.38355347558573,-1,-1.09635430297894,0.35,0.323411319948579
"D1-S1-02","D1","Lim_Velocidad","Memorizar",0.793,1.35,1.2727528555395,-0.8,-0.822722621017622,0.32,0.332555784383416
"D1-S1-03","D1","Lim_Velocidad","Aplicar",0.6405,1.45,1.37126441497623,0.1,0.159269515673937,0.33,0.334993042543786
"D1-S2-01","D1","Prohibiciones","Comprender",0.7405,1.35,1.21259013130802,-0.5,-0.731342332914794,0.31,0.223942858700416
"D1-S2-02","D1","Prohibiciones","Comprender",0.81425,1.1,0.923044026464063,-1,-1.4511836415149,0.38,0.231160724740166
"D1-S2-03","D1","Prohibiciones","Comprender",0.818,1,1.13699704000266,-1.2,-1.19029715211193,0.36,0.279957754781622
"D1-S3-01","D1","Preferencias_Paso","Aplicar",0.42925,1.45,1.30992841758044,1.2,1.19043070648211,0.27,0.255711187516259
"D1-S3-02","D1","Preferencias_Paso","Aplicar",0.61525,1.5,1.35516557921234,0.15,0.0685525072037347,0.29,0.256729607664459
"D1-S3-03","D1","Preferencias_Paso","Aplicar",0.58125,1.25,0.961389637289486,0.3,0.130532723471475,0.26,0.204707520588225
"D1-S4-01","D1","Vehiculos_Emergencia","Aplicar",0.672,1.35,1.66368795163423,0.1,0.273828585943908,0.33,0.431110682294742
"D1-S4-02","D1","Vehiculos_Emergencia","Aplicar",0.6435,1.1,0.860216618973964,0.05,-0.637850250638992,0.3,0.0718767043830096
"D1-S4-03","D1","Vehiculos_Emergencia","Aplicar",0.634,1.35,1.66066576767751,0.15,0.25105892791262,0.32,0.358179863380116
"D1-S5-01","D1","Documentos_Obligaciones","Memorizar",0.82425,0.95,0.847249821417882,-1.4,-1.96140484613465,0.28,0.0695621960264995
"D1-S5-02","D1","Documentos_Obligaciones","Memorizar",0.7815,1.05,1.09104474542832,-0.8,-0.737021026654628,0.33,0.363938155616894
"D1-S5-03","D1","Documentos_Obligaciones","Memorizar",0.6405,1.38,1.37987811378523,-0.05,0.00118793644275172,0.25,0.282114573978055
"D1-S6-01","D1","Zonas_Especiales","Aplicar",0.6065,1.22,1.09517581022028,0.3,0.170521054786338,0.31,0.268299628346646
"D1-S6-02-E","D1","Zonas_Especiales","Aplicar",0.507,1.32,0.796077981709302,0.9,0.452571729629719,0.3,0.148033524785439
"D1-S6-03","D1","Zonas_Especiales","Aplicar",0.5965,1.38,1.57493636030013,0.65,0.842327493156318,0.37,0.43698505053252
"D2-01","D2","Sen_Preventivas","Memorizar",0.78375,0.9,1.08524607671615,-0.9,-0.613222024180118,0.34,0.414165390056846
"D2-02","D2","Sen_Preventivas","Memorizar",0.862,1,0.86170616928661,-1.5,-1.98627382236772,0.33,0.245264762233438
"D2-03","D2","Sen_Preventivas","Memorizar",0.8545,0.95,0.747583200297454,-1.4,-2.38591279171874,0.4,0.127063030192524
"D2-04","D2","Sen_Restrictivas","Comprender",0.794,1.1,1.00220556035462,-0.8,-1.16774536377513,0.33,0.248453776377307
"D2-05","D2","Sen_Restrictivas","Comprender",0.726,1.15,0.999900778329651,-0.5,-0.779825241879264,0.3,0.203462283245757
"D2-06","D2","Sen_Restrictivas","Comprender",0.82825,0.82,1.10371643310683,-1.2,-0.600742870648119,0.39,0.536178543367348
"D2-07","D2","Sen_Informativas","Comprender",0.71225,0.85,1.31503378226765,-0.3,0.321474170290172,0.35,0.50316841548972
"D2-08","D2","Sen_Informativas","Comprender",0.7425,0.92,1.11162063085336,-0.6,-0.416451842346089,0.32,0.370207451819032
"D2-09","D2","Sen_Informativas","Comprender",0.82975,0.88,0.667637113926523,-1.1,-2.35340521002532,0.42,0.110278316358877
"D2-10","D2","Semaforos_Dispositivos","Aplicar",0.773,0.6,0.551914922208525,-1.4,-1.43278905354562,0.29,0.297443545553324
"D2-11","D2","Semaforos_Dispositivos","Aplicar",0.57225,1.3,1.3291020603783,0.4,0.328975535331117,0.26,0.264362813382087
"D2-12","D2","Semaforos_Dispositivos","Aplicar",0.52225,1.47,1.32527970808699,0.7,0.59575963254554,0.28,0.258585654020008
"D2-13","D2","Piramide_Movilidad","Comprender",0.755,1.45,1.48005140699334,-0.5,-0.479872334666647,0.33,0.349097764454184
"D2-14","D2","Piramide_Movilidad","Comprender",0.7165,1.32,0.985535585012289,-0.3,-1.01554681851986,0.31,0.063270927537972
"D2-15","D2","Piramide_Movilidad","Comprender",0.745,1.18,0.939028168710065,-0.5,-1.04341695733017,0.29,0.161140275680026
"D2-16","D2","Interacciones_Cruce","Aplicar",0.55375,1.48,1.33125795609416,0.65,0.56797805655282,0.33,0.300904628724896
"D2-17","D2","Interacciones_Cruce","Aplicar",0.61575,1.57,1.36747335846222,0.1,-0.105178686916728,0.27,0.189424737851973
"D2-18","D2","Interacciones_Cruce","Aplicar",0.5535,0.8,0.671787596758311,0.4,0.0272791797721121,0.24,0.114788615104896
"D3-01","D3","Sistemas_Retencion","Memorizar",0.49475,1.15,1.41298009714961,0.9,1.25504035530678,0.28,0.359397417027135
"D3-02","D3","Sistemas_Retencion","Memorizar",0.5825,1,1.18265069988524,0.5,0.694946799705488,0.32,0.363910192822358
"D3-03","D3","Sistemas_Retencion","Memorizar",0.46675,1.35,1.09972229034499,1.1,0.882877589043297,0.29,0.223557732097836
"D3-04","D3","Distancias_Velocidades","Aplicar",0.53325,1.5,1.80326695081036,0.6,0.804131101505176,0.3,0.352183988740966
"D3-05","D3","Distancias_Velocidades","Aplicar",0.41525,1.35,1.41982481155835,1.1,1.1436269666073,0.22,0.239108369756474
"D3-06","D3","Distancias_Velocidades","Aplicar",0.59325,1.15,1.10254717235813,0.35,0.167399454131881,0.31,0.243051673721917
"D3-07","D3","Manejo_Defensivo","Comprender",0.64475,1.3,1.03602527221068,0.15,-0.181502404816789,0.34,0.231140780358007
"D3-08","D3","Manejo_Defensivo","Comprender",0.57125,1.38,1.19997188976121,0.4,0.211553500515197,0.28,0.219987289523949
"D3-09","D3","Manejo_Defensivo","Comprender",0.684,1.25,1.23025536718372,0.05,0.0406423314243736,0.37,0.380537731808944
"D3-10","D3","Condiciones_Adversas","Aplicar",0.56675,1.2,1.34771361796021,0.35,0.468787252374347,0.24,0.296548358108182
"D3-11","D3","Condiciones_Adversas","Aplicar",0.37575,1.65,1.82474257006357,1.2,1.14202460857208,0.21,0.216769743472913
"D3-12","D3","Condiciones_Adversas","Aplicar",0.48525,1.15,1.35336223445091,0.8,0.861765913353108,0.23,0.270385988731511
"D3-13","D3","Prediccion_Urbana","Analizar",0.39175,1.7,1.59505696327718,1.2,1.24233227305104,0.25,0.241065910948566
"D3-14","D3","Prediccion_Urbana","Analizar",0.4235,1.65,1.65800362061156,1.05,1.02557917813961,0.24,0.244037418942814
"D3-15","D3","Prediccion_Urbana","Analizar",0.41625,1.55,1.34479103333715,1.2,1.06828869082658,0.26,0.218692006853756
