item,dimension,subtema,nivel_cognitivo,a,b,c
D1-S1-01,D1,Lim_Velocidad,Memorizar,1.3,-1,0.35
D1-S1-02,D1,Lim_Velocidad,Memorizar,1.35,-0.8,0.32
D1-S1-03,D1,Lim_Velocidad,Aplicar,1.45,0.1,0.33
D1-S2-01,D1,Prohibiciones,Comprender,1.35,-0.5,0.31
D1-S2-02,D1,Prohibiciones,Comprender,1.1,-1,0.38
D1-S2-03,D1,Prohibiciones,Comprender,1,-1.2,0.36
D1-S3-01,D1,Preferencias_Paso,Aplicar,1.45,1.2,0.27
D1-S3-02,D1,Preferencias_Paso,Aplicar,1.5,0.15,0.29
D1-S3-03,D1,Preferencias_Paso,Aplicar,1.25,0.3,0.26
D1-S4-01,D1,Vehiculos_Emergencia,Aplicar,1.35,0.1,0.33
D1-S4-02,D1,Vehiculos_Emergencia,Aplicar,1.1,0.05,0.3
D1-S4-03,D1,Vehiculos_Emergencia,Aplicar,1.35,0.15,0.32
D1-S5-01,D1,Documentos_Obligaciones,Memorizar,0.95,-1.4,0.28
D1-S5-02,D1,Documentos_Obligaciones,Memorizar,1.05,-0.8,0.33
D1-S5-03,D1,Documentos_Obligaciones,Memorizar,1.38,-0.05,0.25
D1-S6-01,D1,Zonas_Especiales,Aplicar,1.22,0.3,0.31
D1-S6-02-E,D1,Zonas_Especiales,Aplicar,1.32,0.9,0.3
D1-S6-03,D1,Zonas_Especiales,Aplicar,1.38,0.65,0.37
D2-01,D2,Sen_Preventivas,Memorizar,0.9,-0.9,0.34
D2-02,D2,Sen_Preventivas,Memorizar,1,-1.5,0.33
D2-03,D2,Sen_Preventivas,Memorizar,0.95,-1.4,0.4
D2-04,D2,Sen_Restrictivas,Comprender,1.1,-0.8,0.33
D2-05,D2,Sen_Restrictivas,Comprender,1.15,-0.5,0.3
D2-06,D2,Sen_Restrictivas,Comprender,0.82,-1.2,0.39
D2-07,D2,Sen_Informativas,Comprender,0.85,-0.3,0.35
D2-08,D2,Sen_Informativas,Comprender,0.92,-0.6,0.32
D2-09,D2,Sen_Informativas,Comprender,0.88,-1.1,0.42
D2-10,D2,Semaforos_Dispositivos,Aplicar,0.6,-1.4,0.29
D2-11,D2,Semaforos_Dispositivos,Aplicar,1.3,0.4,0.26
D2-12,D2,Semaforos_Dispositivos,Aplicar,1.47,0.7,0.28
D2-13,D2,Piramide_Movilidad,Comprender,1.45,-0.5,0.33
D2-14,D2,Piramide_Movilidad,Comprender,1.32,-0.3,0.31
D2-15,D2,Piramide_Movilidad,Comprender,1.18,-0.5,0.29
D2-16,D2,Interacciones_Cruce,Aplicar,1.48,0.65,0.33
D2-17,D2,Interacciones_Cruce,Aplicar,1.57,0.1,0.27
D2-18,D2,Interacciones_Cruce,Aplicar,0.8,0.4,0.24
D3-01,D3,Sistemas_Retencion,Memorizar,1.15,0.9,0.28
D3-02,D3,Sistemas_Retencion,Memorizar,1,0.5,0.32
D3-03,D3,Sistemas_Retencion,Memorizar,1.35,1.1,0.29
D3-04,D3,Distancias_Velocidades,Aplicar,1.5,0.6,0.3
D3-05,D3,Distancias_Velocidades,Aplicar,1.35,1.1,0.22
D3-06,D3,Distancias_Velocidades,Aplicar,1.15,0.35,0.31
D3-07,D3,Manejo_Defensivo,Comprender,1.3,0.15,0.34
D3-08,D3,Manejo_Defensivo,Comprender,1.38,0.4,0.28
D3-09,D3,Manejo_Defensivo,Comprender,1.25,0.05,0.37
D3-10,D3,Condiciones_Adversas,Aplicar,1.2,0.35,0.24
D3-11,D3,Condiciones_Adversas,Aplicar,1.65,1.2,0.21
D3-12,D3,Condiciones_Adversas,Aplicar,1.15,0.8,0.23
D3-13,D3,Prediccion_Urbana,Analizar,1.7,1.2,0.25
D3-14,D3,Prediccion_Urbana,Analizar,1.65,1.05,0.24
D3-15,D3,Prediccion_Urbana,Analizar,1.55,1.2,0.26
D3-16,D3,Prediccion_ViasRapidas,Analizar,1.35,0.8,0.29
D3-17,D3,Prediccion_ViasRapidas,Analizar,1.9,1.5,0.22
D3-18,D3,Prediccion_ViasRapidas,Analizar,1.68,1.15,0.31
